epoch,train_loss,valid_loss,has_train_loss_improved,has_valid_loss_improved,duration
0,1.02011,0.998119354248,1,1,14.3444099426
1,0.983185,0.963093519211,1,1,14.4794149399
2,0.94826,0.93121188879,1,1,14.4290831089
3,0.917678,0.904671430588,1,1,14.5089330673
4,0.89272,0.883251905441,1,1,14.4665930271
5,0.872256,0.86531662941,1,1,14.9063971043
6,0.854776,0.849844515324,1,1,15.3400921822
7,0.83952,0.836393773556,1,1,14.9348809719
8,0.826072,0.824623405933,1,1,15.1642980576
9,0.814065,0.814181625843,1,1,14.9022858143
10,0.803213,0.804754674435,1,1,15.1640119553
11,0.793293,0.796213924885,1,1,15.1421129704
12,0.784191,0.788397371769,1,1,15.0065000057
13,0.775791,0.781289637089,1,1,14.917678833
14,0.767999,0.774727523327,1,1,15.1992669106
15,0.760752,0.768651306629,1,1,15.0904951096
16,0.753975,0.763081014156,1,1,14.9709148407
17,0.747627,0.75786793232,1,1,15.0011548996
18,0.741651,0.752961158752,1,1,14.9335839748
19,0.736003,0.748448312283,1,1,14.954875946
20,0.730666,0.744126141071,1,1,15.0210189819
21,0.725597,0.740028977394,1,1,14.8791399002
22,0.720767,0.736190497875,1,1,14.9706549644
23,0.716168,0.732558071613,1,1,14.9601740837
24,0.711768,0.729136705399,1,1,14.6983959675
25,0.70756,0.725836455822,1,1,14.9614338875
26,0.703532,0.722760617733,1,1,14.968364954
27,0.699645,0.719821214676,1,1,14.7720580101
28,0.695935,0.716985583305,1,1,14.8749830723
29,0.692347,0.714296281338,1,1,14.8973560333
30,0.688909,0.71170014143,1,1,14.8412401676
31,0.685591,0.709239184856,1,1,14.7109959126
32,0.682386,0.706886708736,1,1,14.7721319199
33,0.679287,0.704674124718,1,1,14.6942229271
34,0.676286,0.70246297121,1,1,14.7931518555
35,0.673417,0.700415194035,1,1,14.7795929909
36,0.67061,0.698414921761,1,1,14.8846440315
37,0.667911,0.696528315544,1,1,14.7499079704
38,0.665285,0.69462031126,1,1,14.9272370338
39,0.662744,0.692873775959,1,1,14.9890239239
40,0.660269,0.69117295742,1,1,14.7665951252
41,0.657861,0.689482033253,1,1,14.74187994
42,0.655542,0.687900006771,1,1,14.7097980976
43,0.65327,0.686332404613,1,1,14.7801220417
44,0.65106,0.684754908085,1,1,14.7191548347
45,0.648932,0.683337748051,1,1,14.7531750202
46,0.646848,0.681904256344,1,1,14.7885420322
47,0.644799,0.680496633053,1,1,14.6649229527
48,0.642814,0.679167747498,1,1,14.7633290291
49,0.64086,0.677914500237,1,1,14.7347960472
50,0.638977,0.676586329937,1,1,14.7547011375
51,0.637101,0.675385296345,1,1,14.7521550655
52,0.635311,0.674187421799,1,1,14.7526369095
53,0.633531,0.67303955555,1,1,14.7344748974
54,0.631802,0.671923995018,1,1,14.7981090546
55,0.630112,0.670813679695,1,1,14.7038431168
56,0.628447,0.669783949852,1,1,14.7290511131
57,0.626814,0.668717443943,1,1,14.7399959564
58,0.625229,0.667687416077,1,1,14.7543559074
59,0.623672,0.666700124741,1,1,14.7704889774
60,0.622118,0.665755927563,1,1,14.7344679832
61,0.620623,0.664760231972,1,1,14.7742710114
62,0.619151,0.663855791092,1,1,14.7689990997
63,0.617697,0.662981212139,1,1,14.7827310562
64,0.616264,0.662101626396,1,1,14.7472012043
65,0.614874,0.661220550537,1,1,14.7521538734
66,0.613525,0.660358250141,1,1,14.7595479488
67,0.612169,0.659524083138,1,1,14.7016639709
68,0.610841,0.658761382103,1,1,14.7711977959
69,0.609523,0.657939970493,1,1,14.7374050617
70,0.60826,0.657165110111,1,1,14.6946110725
71,0.606995,0.656426548958,1,1,14.7684540749
72,0.605745,0.655656814575,1,1,14.7476840019
73,0.604539,0.654939472675,1,1,14.7585411072
74,0.603328,0.65419536829,1,1,14.7214400768
75,0.602165,0.653470158577,1,1,14.7880809307
76,0.600977,0.65278506279,1,1,14.7538230419
77,0.599838,0.652002036572,1,1,14.7248208523
78,0.598712,0.65142095089,1,1,14.7218151093
79,0.597589,0.650730252266,1,1,14.746309042
