epoch,train_loss,valid_loss,has_train_loss_improved,has_valid_loss_improved,duration
0,9.29339e-05,9.64638602454e-05,1,1,7.76275205612
1,9.29184e-05,9.64681385085e-05,1,0,7.76050901413
2,9.29121e-05,9.64667706285e-05,1,0,7.67377400398
3,9.29078e-05,9.64640130405e-05,1,0,7.73416805267
4,9.2904e-05,9.64608916547e-05,1,1,7.6846101284
5,9.29004e-05,9.64576902334e-05,1,1,7.77578115463
6,9.28967e-05,9.64544233284e-05,1,1,7.74156403542
7,9.28931e-05,9.64511345956e-05,1,1,7.68523597717
8,9.28894e-05,9.6447802207e-05,1,1,7.64813518524
9,9.28858e-05,9.64444479905e-05,1,1,7.70766496658
10,9.28822e-05,9.64410864981e-05,1,1,7.75686812401
11,9.28785e-05,9.64376886259e-05,1,1,7.69285202026
12,9.28749e-05,9.64343198575e-05,1,1,7.68740105629
13,9.28713e-05,9.64309292613e-05,1,1,7.74221491814
14,9.28677e-05,9.64275095612e-05,1,1,7.73353290558
15,9.28641e-05,9.6424104413e-05,1,1,7.66251707077
16,9.28604e-05,9.64206847129e-05,1,1,7.75380802155
17,9.28568e-05,9.64172577369e-05,1,1,7.75637292862
18,9.28532e-05,9.64138453128e-05,1,1,7.72126197815
19,9.28496e-05,9.64104183367e-05,1,1,7.68593287468
20,9.2846e-05,9.64069840848e-05,1,1,7.68384385109
21,9.28423e-05,9.64035716606e-05,1,1,7.68391609192
22,9.28387e-05,9.64001374086e-05,1,1,7.6537270546
23,9.28351e-05,9.63967249845e-05,1,1,7.68155813217
24,9.28315e-05,9.63932761806e-05,1,1,7.71604394913
25,9.28279e-05,9.63898637565e-05,1,1,7.76507687569
26,9.28243e-05,9.63864586083e-05,1,1,7.68008208275
27,9.28207e-05,9.63830243563e-05,1,1,7.71945595741
28,9.28171e-05,9.63795901043e-05,1,1,7.69023895264
29,9.28135e-05,9.63761704043e-05,1,1,7.75348186493
30,9.28099e-05,9.63727579801e-05,1,1,7.68430495262
31,9.28063e-05,9.63693310041e-05,1,1,7.65325307846
32,9.28026e-05,9.63659258559e-05,1,1,7.68281006813
33,9.2799e-05,9.63624916039e-05,1,1,7.77081394196
34,9.27954e-05,9.63590646279e-05,1,1,7.75702595711
35,9.27918e-05,9.63556667557e-05,1,1,7.6516520977
36,9.27882e-05,9.63522252277e-05,1,1,7.6457130909
37,9.27846e-05,9.63488419075e-05,1,1,7.6621491909
38,9.2781e-05,9.63454149314e-05,1,1,7.67287802696
39,9.27774e-05,9.63420025073e-05,1,1,7.64738202095
40,9.27738e-05,9.63386046351e-05,1,1,7.68305492401
41,9.27702e-05,9.63351776591e-05,1,1,7.7277340889
42,9.27666e-05,9.63317652349e-05,1,1,7.7267100811
43,9.2763e-05,9.63283673627e-05,1,1,7.68631696701
44,9.27594e-05,9.63249549386e-05,1,1,7.70828914642
45,9.27558e-05,9.63215497904e-05,1,1,7.71654295921
46,9.27522e-05,9.63181591942e-05,1,1,7.67965483665
47,9.27486e-05,9.63147249422e-05,1,1,7.65057492256
48,9.2745e-05,9.63113416219e-05,1,1,7.65133714676
49,9.27414e-05,9.63079437497e-05,1,1,7.75501799583
50,9.27378e-05,9.63045604294e-05,1,1,7.72353005409
51,9.27343e-05,9.63011407293e-05,1,1,7.71791315079
52,9.27307e-05,9.62977501331e-05,1,1,7.74610590935
53,9.27271e-05,9.62943522609e-05,1,1,7.7756061554
54,9.27235e-05,9.62909543887e-05,1,1,7.74612998962
55,9.27199e-05,9.62875565165e-05,1,1,7.69442486763
56,9.27163e-05,9.62841659202e-05,1,1,7.73599290848
57,9.27127e-05,9.6280775324e-05,1,1,7.69744205475
58,9.27091e-05,9.62773774518e-05,1,1,7.69057297707
59,9.27055e-05,9.62740014074e-05,1,1,7.71432590485
60,9.2702e-05,9.62705962593e-05,1,1,7.64740586281
61,9.26984e-05,9.6267205663e-05,1,1,7.6632168293
62,9.26948e-05,9.62638150668e-05,1,1,7.72889685631
63,9.26912e-05,9.62604317465e-05,1,1,7.76396512985
